Name: CCTV3综艺[高清], URL: http://59.174.98.235:8880/rtp/239.69.1.122:10370$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 316 ms
Name: CCTV3综艺[高清], URL: http://125.126.70.160:9999/rtp/233.50.201.196:5140$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 325 ms
Name: CCTV3综艺[高清], URL: http://119.98.37.126:8888/rtp/239.69.1.122:10370$1920x1080, Date: 2024-10-04, Resolution: 1920x1080, Response Time: 331 ms
Name: CCTV3综艺[高清], URL: http://101.81.119.90:8888/rtp/239.45.1.68:5140$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 335 ms
Name: CCTV3综艺[高清], URL: http://211.158.99.34:55555/rtp/225.0.4.142:7980$1920x1080, Date: 2024-10-07, Resolution: 1920x1080, Response Time: 339 ms
Name: CCTV3综艺[高清], URL: http://183.191.180.63:8002/rtp/226.0.2.208:9576$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 345 ms
Name: CCTV3综艺[高清], URL: http://220.184.31.152:55555/rtp/233.50.201.196:5140$1920x1080, Date: 2024-10-08, Resolution: 1920x1080, Response Time: 345 ms
Name: CCTV3综艺[高清], URL: http://221.15.227.34:8181/rtp/225.1.4.158:1194$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 347 ms
Name: CCTV3综艺[高清], URL: http://60.187.112.70:4022/rtp/233.50.201.196:5140$1920x1080, Date: 2024-10-07, Resolution: 1920x1080, Response Time: 348 ms
Name: CCTV3综艺[高清], URL: http://175.9.194.24:4502/rtp/239.76.253.153:9000$1920x1080, Date: 2024-10-01, Resolution: 1920x1080, Response Time: 348 ms
Name: CCTV3综艺[高清], URL: http://175.9.193.128:4502/rtp/239.76.253.153:9000$1920x1080, Date: 2024-10-01, Resolution: 1920x1080, Response Time: 353 ms
Name: CCTV3综艺[高清], URL: http://116.227.48.27:58888/rtp/239.45.1.68:5140$1920x1080, Date: 2024-10-04, Resolution: 1920x1080, Response Time: 354 ms
